_	БАҚ.
_	ДНҚ.
_	км.
_	млн.
_	млн.
_	млрд.
_	мм.
_	ред.
_	AFP.
_	ANP.
_	ATP.
_	AББ.
_	BAE.
_	BG.
_	BP.
_	CAM.
_	CCTV.
_	CD.
_	CEZ.
_	CGI.
_	CNPC.
_	DVD.
_	EITI.
_	EPO.
_	ER.
_	FARC.
_	FBI.
_	GP.
_	GPS.
_	HAS.
_	HIV.
_	HRH.
_	http.
_	ICU.
_	ICU.
_	IDF.
_	IDF.
_	IMD.
_	IME.
_	IP.
_	ISO.
_	Kaz.
_	kPa.
_	KPO.
_	kz.
_	KZ.
_	MGM.
_	MRI.
_	NASA.
_	NBA.
_	NBC.
_	NDS.
_	OHL.
_	OMLT.
_	PDA.
_	PKK.
_	ppm.
_	PSM.
_	PSP.
_	RAF.
_	RSS.
_	RTL.
_	SAS.
_	SME.
_	SMS.
_	TNT.
_	UDF.
_	UEFA.
_	USB.
_	UTC.
_	x.
_	ZDF.
_	А.
_	ААҚ.
_	авг.
_	АЕК.
_	акад.
_	АК.
_	АКСР.
_	акцион.
_	АҚ.
_	АҚШ.
_	АМТ.
_	англ.
_	АӨСШК.
_	апр.
_	апр.
_	аум.
_	АФ.
_	АЦАТ.
_	АЦАТ.
_	ӘқБК.
_	ӘҚБК.
_	ӘӨК.
_	ӘЧ.
_	б.б.
_	ББС.
_	б.з.б.
_	б.з.б.
_	б.з.д.
_	б.з.д.
_	биол.
_	Биохим.
_	биікт.
_	БМТРК.
_	БОАК.
_	БӨ.
_	БСН.
_	БТА.
_	б.т.
_	БҰҰ.
_	БХООО.
_	б.э.д.
_	ВИЧ.
_	ВСООНЛ.
_	г.
_	геогр.
_	геол.
_	Гленкор.
_	ГСБП.
_	ГСДП.
_	ГУЛАГ.
_	ГЭС.
_	ғ.
_	ғ.
_	Ғ.
_	ғ.
_	Ғ.С.
_	дек.
_	ДК.
_	ДНҚ.
_	ДСҰ.
_	ЕАҚК.
_	ЕАЭЫ.
_	ЕҚЫҰ.
_	ЕҚЫҰ.
_	Ембімұнайгаз.
_	ЕО.
_	ЕурАзЭҚ.
_	Еуроодақ.
_	ЕҰУ.
_	ЕЭЫ.
_	ж.
_	ж.
_	жж.
_	ЖКО.
_	ЖКТ.
_	ЖҚҚ.
_	ЖОО.
_	ЖСДП.
_	ЖСК.
_	ЖТСХ.
_	ЖХЛ.
_	ЖШС.
_	ЖІӨ.
_	ЖЭК.
_	И.
_	ИНТА.
_	ИСАФ.
_	КамАЗ.
_	КГБ.
_	кг.
_	КЕУ.
_	КИМЕП.
_	км².
_	км².
_	км³.
_	км³.
_	км.
_	км.
_	КМС.
_	КОКП.
_	КОТА.
_	КСР.
_	КСРО.
_	КСРО.
_	КТУ.
_	КХДР.
_	КХДР.
_	Қазатомпром.
_	ҚазКСР.
_	Қазмұнайгаз.
_	Қазпошта.
_	ҚазТАГ.
_	ҚазҰУ.
_	ҚазҰУ.
_	ҚК.
_	ҚКП.
_	Қ.
_	ҚҚС.
_	ҚМДБ.
_	ҚР.
_	ҚХР.
_	лат.
_	м².
_	м².
_	м³.
_	м³.
_	МАГАТЭ.
_	МАЖ.
_	май.
_	Максам.
_	Мб.
_	МБФ.
_	МВт.
_	Мемдум.
_	мемл.
_	мин.
_	МҚО.
_	млн.
_	млрд.
_	М.
_	М.
_	м.
_	мм.
_	мм.
_	МР.
_	МСОП.
_	МТК.
_	МТ.
_	мыс.
_	НАСА.
_	НАТО.
_	НКВД.
_	нояб.
_	НҰСЖП.
_	ОАР.
_	ОББ.
_	обл.
_	ОГПУ.
_	ОЕБ.
_	окт.
_	оңт.
_	ОПЕК.
_	ӨГК.
_	Өзенмұнайгаз.
_	ӨҰҚ.
_	ӨФ.
_	ПӘК.
_	пед.
_	ПИҚ.
_	РЖМБ.
_	РКФСР.
_	РЛДП.
_	РНҚ.
_	Р.
_	РСФСР.
_	РТЖ.
_	руб.
_	РФКП.
_	РФ.
_	СБД.
_	СБЛ.
_	СВС.
_	СВУ.
_	СДУ.
_	сент.
_	СЕС.
_	см.
_	СНПС.
_	солт.
_	солт.
_	СООНО.
_	СПБМУ.
_	С.
_	ССРО.
_	ССР.
_	СССР.
_	ССС.
_	с. ш.
_	СЭС.
_	т.б.
_	т.б.
_	ТВ.
_	тереңд.
_	тех.
_	ТЖҚ.
_	ТЖ.
_	ТИМ.
_	ТМД.
_	төм.
_	трлн.
_	ТР.
_	т. с. с.
_	т.с.с.
_	Т.
_	т.
_	т.
_	т.
_	ТЭЦ.
_	УАЗ.
_	УЕФА.
_	УК.
_	ҰҚК.
_	ҰҚШҰ.
_	февр.
_	ФКҚҚ.
_	ФҚҚ.
_	ФСБ.
_	ХВҚ.
_	ХДО.
_	ХДП.
_	хим.
_	ХҚКО.
_	ХТҚО.
_	ЦАС.
_	ЦТП.
_	ш. б.
_	ШҰАР.
_	Ш.
_	ШЫҰ.
_	ШЫҰ.
_	ІІМ.
_	экон.
_	ЭКСПО.
_	ЭҚК.
_	ЭӨКК.
_	ЭЫДҰ.
_	ЮНЕСКО.
_	янв.
_	АҚШ.
_	БТА.
_	БҰҰ.
_	ВДР.
_	ЖСДП.
_	КАФ.
_	КИМЭП.
_	КОНМЕБОЛ.
_	КСРО.
_	ҚМЭБИ.
_	ҚР.
_	ҚХР.
_	НАТО.
_	РСФКР.
_	РФ.
_	ФИФА.
